                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1404,                 1.8454,                 1.5526,                 0.8536,                0.59906,                0.80027,                0.44633,                 1.3577,                 2.6994,                 2.0179,             0.00065385,             0.00065385,             0.00065385
                      2,                 1.2726,                 1.5571,                 1.6457,                0.47154,                0.50943,                0.44151,                0.15937,                 2.1197,                 2.7934,                 3.0951,              0.0012551,              0.0012551,              0.0012551
                      3,                 1.3299,                 1.4733,                 1.6792,                 0.3799,                0.47642,                0.41412,                0.15085,                 1.9991,                 5.8994,                 3.0644,              0.0017904,              0.0017904,              0.0017904
                      4,                  1.327,                  1.382,                 1.6762,                0.57247,                0.64424,                0.61351,                0.29336,                 1.7636,                 1.9111,                 2.5046,               0.001703,               0.001703,               0.001703
                      5,                 1.4109,                 1.3856,                 1.7417,                0.25401,                0.31132,                0.20066,                 0.0729,                  2.192,                 2.5339,                 2.8657,               0.001703,               0.001703,               0.001703
                      6,                 1.3327,                 1.2741,                 1.6706,                0.68482,                0.77891,                0.80146,                 0.3913,                 1.6486,                 1.7487,                 2.2273,               0.001604,               0.001604,               0.001604
                      7,                 1.2373,                 1.1446,                 1.5998,                  0.763,                0.63782,                0.68173,                0.28702,                  1.924,                 1.6056,                 2.7506,               0.001505,               0.001505,               0.001505
                      8,                 1.2419,                 1.0868,                   1.58,                0.84691,                0.73065,                0.78809,                0.36977,                 1.7684,                 1.4076,                 2.4977,               0.001406,               0.001406,               0.001406
                      9,                 1.2137,                 1.0177,                 1.5463,                0.84946,                 0.8251,                 0.8778,                0.48852,                 1.4905,                 1.1289,                 2.0806,               0.001307,               0.001307,               0.001307
                     10,                 1.1436,                 1.0082,                   1.54,                0.93623,                0.83103,                0.92955,                 0.5542,                 1.3243,                0.92487,                 1.9003,               0.001208,               0.001208,               0.001208
                     11,                 1.1551,                0.96174,                 1.7124,                0.90234,                0.82809,                0.90857,                 0.5695,                  1.248,                 1.0105,                 1.8356,               0.001109,               0.001109,               0.001109
                     12,                 1.0723,                0.82539,                 1.6349,                0.90646,                0.77708,                 0.8816,                0.52621,                 1.3243,                  1.054,                 1.8985,                0.00101,                0.00101,                0.00101
                     13,                 1.0218,                0.76569,                 1.5816,                0.92218,                0.89433,                0.94784,                0.57185,                 1.2819,                0.85304,                 1.8583,               0.000911,               0.000911,               0.000911
                     14,                 1.0046,                 0.7179,                   1.53,                0.95896,                0.88171,                0.94762,                 0.5922,                 1.2154,                0.84852,                 1.7932,               0.000812,               0.000812,               0.000812
                     15,                0.96459,                0.69977,                 1.5309,                0.92956,                0.87736,                  0.941,                0.64347,                  1.112,                0.76717,                  1.686,               0.000713,               0.000713,               0.000713
                     16,                0.93588,                0.64757,                 1.4962,                0.91797,                0.89733,                 0.9526,                0.62995,                  1.117,                0.74452,                 1.6672,               0.000614,               0.000614,               0.000614
                     17,                0.87612,                0.60177,                 1.4411,                0.94812,                0.91981,                 0.9721,                0.66917,                  1.081,                0.64842,                 1.6112,               0.000515,               0.000515,               0.000515
                     18,                0.85214,                0.57816,                 1.4112,                0.92288,                0.90316,                0.96297,                0.66066,                 1.0908,                0.67502,                 1.6259,               0.000416,               0.000416,               0.000416
                     19,                 0.8227,                0.55532,                 1.3788,                0.96381,                0.87927,                0.96127,                0.67905,                 1.0316,                0.64965,                 1.5648,               0.000317,               0.000317,               0.000317
                     20,                 0.7913,                0.52484,                 1.3557,                0.96421,                0.88946,                0.96794,                0.69045,                0.98192,                0.60315,                 1.5407,               0.000218,               0.000218,               0.000218
